text,movement,style,year,corpus,var
"  Из Москвы Кипренский переехал в Тверь, где в то время жила дочь Павла Первого, принцесса Екатерина Павловна. ",1,0,1936,0,из
" Он нетерпеливо скакал из Москвы в Тверь на перекладных, чтобы сообщить последние вести о баталиях и выслушать чтение высокопарных стихов и шум страстных споров. ",1,0,1936,0,из
" Но начиная с первых лет войны Кисловодск был уже наводнён разорившимися дамами, прогоревшими артистами и молодыми людьми из Москвы и Петербурга; эти молодые люди ездили верхом на наёмных лошадях и отчаянно трясли локтями, точно кто-то подталкивал их под руку. ",0,0,1930,0,из
" Из Москвы он сейчас же возвращался обратно ― дела ему там не было, ― и снова дорогу ему переступали всякие знакомые, которых он угощал. ",1,0,1928,0,из
" Однажды приехал гость из Москвы и просил меня показать ему, как надо подстаивать беляков. ",1,0,1923,0,из
"  Осенью 1911 года, после тяжёлой болезни, Нина решила уехать из Москвы навсегда. ",1,0,1924,0,из
" Он, приезжая из Москвы, жил у нас). ",1,0,1923,0,из
" Те говорят: это матерное, это из Москвы вас кроют. ",1,0,1923,0,из
"  На воле заливались жаворонки, и в поезде, шедшем из Москвы, везли задыхавшееся солнце на множестве полосатых диванов. ",1,0,1918,0,из
 (Тщательно зачеркнуто.)  Кинематографическая труппа из Москвы.  Ставили «Смутное время» в Кремле и где были валы. ,0,0,1918,0,из
  Тут в первый раз ему пришла мысль― немедленно уехать из Москвы. ,1,0,1909,0,из
  Вызванная из Москвы Митрофания остановилась в гостинице «Москва» на углу Невского и Владимирской. ,1,0,1908,0,из
" Статую эту, долженствовавшую представить молящегося ангела, он выписал из Москвы; но отрекомендованный ему комиссионер, сообразив, что в провинции знатоки скульптуры встречаются редко, вместо ангела прислал ему богиню Флору, много лет украшавшую один из заброшенных подмосковных садов екатерининского времени ― благо эта статуя, весьма, впрочем, изящная, во вкусе рококо, с пухлыми ручками, взбитыми пуклями, гирляндой роз на обнажённой груди и изогнутым станом, досталась ему, комиссионеру,даром  . ",1,0,1872,0,из
"  ― Нет, ты очень переменилась с тех пор, как мы приехали из Москвы. ",1,1,1854,0,из
" Он жил на большую ногу, увеличил и отделал дедовские хоромы великолепно, выписывал ежегодно из Москвы тысяч на пятнадцать вина и вообще пользовался величайшим уважением. ",1,0,1849,0,из
" Главнейшие суть: начальное размещение сил на границе, направление к Дриссе и образ отступления от Смоленска; дознано также, что Кутузов мог бы сделать более того, что он сделал, и будь я на его месте, я бы, верно, не упустил случая истребить армию, возвращавшуюся из Москвы: но, несмотря на излишнюю его осторожность, должно признаться, что он дал искусное направление движениям своей армии. ",1,0,1826,0,из
