text,movement,style,year,corpus,var
" Хотелось всем дать понять, что мы не за этим уехали из Москвы, а когда последовал жест Горбачева ― что не побежим обратно, стоит нас только пальчиком поманить. ",1,0,2001,0,из
" А от моего внимания этот факт ускользнул ― пока есть ещё запасы, взятые из Москвы. ",1,0,2001,0,из
" Основной поток транспорта из Москвы направляется через Санкт-Петербург и Выборг на Брусничную или Торфяновку только потому, что эта трасса в нормальном состоянии. ",1,0,2000,0,из
"  Многие приезжали из Москвы и здесь же на безлесом берегу жгли костры, сидели всю ночь у донок с резинками, прислушиваясь, не зазвенит ли во тьме колокольчик, который позднее спас влюбленного Колюню от припадка ревности и тоски, а самые основательные и преданные переправлялись на надувных лодках на острова или, заякорившись, ловили с глубины. ",1,0,2000,0,из
"  А кроме того, как бы ни был суров и непримирим ко всякой иностранщине повзрослевший и абстрактно русофильствовавший на новом витке сентиментального патриотизма Колюня, в его благодарной и непослушной памяти сохранился гул пёстрой, разноголосой, разноязыкой толпы, бродившей по набережным Чёрного моря, куда перебрался из Москвы детский праздник, фейерверки тёплых ночей, песни и пляски, карнавал, гомон, перепачканные сажей девичьи лица, ребячий смех, бодрый старичок Бенжамин Спок  , по которому воспитывала детей и горя не знала огромная легкомысленная страна, радостное возбуждение, костры, и всё это странное, удивительное прикосновение к многообразию и величию мира, здесь собравшегося, и неясное понимание, что славянский мальчик из дачного местечка под Москвой есть только крохотная частица людской вселенной. ",1,0,2000,0,из
 Да и не наездитесь вы из Москвы на эту дачу! ,1,0,2000,0,из
" По замыслу, заряд должен был бы летать на околоземной орбите как обычный спутник, а в нужный момент по команде из Москвы обрушиться на Америку. ",0,0,2000,0,из
" Когда меня забрали родители от бабушки, из Москвы перевезли в колонию, под Сочи, весной двадцатого года. ",1,0,2000,0,из
" Из соображений предосторожности решено было, что он уедет на время из Москвы. ",1,0,2000,0,из
"  В лагере обошлось без декоративных свидетелей ― только начальник по режиму и приехавший из Москвы адвокат, который и добился разрешения на тюремный брак. ",1,0,2000,0,из
"  ― Да и как они умудрились осла наверх затащить? ***   ― Скажите, вы, случайно, не из Москвы?   ― Нет. ",0,1,1985,0,из
"  - А я деньги получил из Москвы ― за книгу ""Зелёные цветы"". ",1,1,2000,0,из
"  На похороны поэта из Москвы приехал тихий и больной человек, тоже поэт― Борис Примеров. ",1,0,2000,0,из
" После этого Эмиль отбыл на долговременные гастроли в Японию, всё практически перепоручив мне, ― я к тому времени от цирка отошёл, открыл собственную фирму и мог не уезжать из Москвы. ",1,0,1997,0,из
" Из работавших со мной девушек не могу не назвать Любу Макарову из балета, рижанку Таню Борину, Жанну Власову, Женю Никоненко, которая стала ныне хозяйкой модного салона женской одежды в Москве, Свету Травникову и Нину Тоцкую из Ленинграда, совсем молодых Катю Дорогину из Перми и Ларису Князеву из Москвы. ",0,0,1997,0,из
